"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Bench Press (Barbell)",,"",2,"normal",56.7,5,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Bench Press (Barbell)",,"",3,"normal",56.7,5,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Bench Press (Barbell)",,"",4,"normal",56.7,4,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Overhead Press (Barbell)",,"",0,"normal",15.88,15,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Overhead Press (Barbell)",,"",1,"normal",24.95,5,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Overhead Press (Barbell)",,"",2,"normal",24.95,5,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Overhead Press (Barbell)",,"",3,"normal",24.95,5,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Overhead Press (Barbell)",,"",4,"normal",24.95,5,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Lat Pulldown (Cable)",,"",0,"normal",34.02,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Lat Pulldown (Cable)",,"",1,"normal",40.82,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Lat Pulldown (Cable)",,"",2,"failure",47.63,14,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Incline Bench Press (Dumbbell)",,"",0,"normal",31.75,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Incline Bench Press (Dumbbell)",,"",1,"normal",31.75,8,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Incline Bench Press (Dumbbell)",,"",2,"normal",27.22,8,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Chest Fly (Machine)",,"",0,"normal",31.75,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Chest Fly (Machine)",,"",1,"normal",40.82,8,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Chest Fly (Machine)",,"",2,"normal",36.29,10,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Chest Fly (Machine)",,"",3,"normal",31.75,10,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Triceps Pushdown",,"",0,"normal",13.61,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Triceps Pushdown",,"",1,"normal",13.61,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Triceps Pushdown",,"",2,"normal",18.14,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Triceps Pushdown",,"",3,"normal",31.75,5,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Hammer Curl (Cable)",,"",0,"normal",13.61,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Hammer Curl (Cable)",,"",1,"normal",13.61,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Hammer Curl (Cable)",,"",2,"normal",13.61,11,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Chin Up",,"",0,"normal",,8,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Chin Up",,"",1,"normal",,7,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Chest Dip",,"",0,"normal",,8,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Chest Dip",,"",1,"normal",,6,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Skullcrusher (Barbell)",,"",0,"normal",13.61,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Skullcrusher (Barbell)",,"",1,"normal",13.61,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Skullcrusher (Barbell)",,"",2,"normal",13.61,12,,,
"Afternoon workout 💪","30 Jul 2023, 15:46","30 Jul 2023, 17:14","","Skullcrusher (Barbell)",,"",3,"normal",13.61,12,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Pull Up",,"",0,"normal",,6,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Pull Up",,"",1,"normal",,6,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Pull Up",,"",2,"failure",,5,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Pull Up",,"",3,"failure",,4,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Bench Press (Barbell)",,"",0,"normal",20.41,16,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Bench Press (Barbell)",,"",1,"normal",43.09,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Bench Press (Barbell)",,"",2,"normal",43.09,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Bench Press (Barbell)",,"",3,"normal",43.09,8,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Bench Press (Barbell)",,"",4,"failure",29.48,15,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Iso-Lateral Row (Machine)",,"",0,"normal",24.95,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Iso-Lateral Row (Machine)",,"",1,"normal",38.56,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Iso-Lateral Row (Machine)",,"",2,"normal",38.56,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Iso-Lateral Row (Machine)",,"",3,"failure",38.56,9,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Iso-Lateral Row (Machine)",,"",4,"failure",31.75,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Skullcrusher (Barbell)",,"",0,"normal",9.07,11,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Skullcrusher (Barbell)",,"",1,"normal",9.07,11,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Skullcrusher (Barbell)",,"",2,"normal",9.07,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Skullcrusher (Barbell)",,"",3,"normal",9.07,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Bicep Curl (Barbell)",,"",0,"normal",13.61,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Bicep Curl (Barbell)",,"",1,"normal",13.61,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Bicep Curl (Barbell)",,"",2,"normal",13.61,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Bicep Curl (Barbell)",,"",3,"normal",15.88,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Shoulder Press (Dumbbell)",,"",0,"normal",11.34,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Shoulder Press (Dumbbell)",,"",1,"normal",11.34,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Shoulder Press (Dumbbell)",,"",2,"normal",11.34,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Shoulder Press (Dumbbell)",,"",3,"normal",11.34,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Chest Dip",,"",0,"normal",,10,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Chest Dip",,"",1,"normal",,8,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Chest Dip",,"",2,"normal",,8,,,
"Day UpperBody","28 Jul 2023, 09:07","28 Jul 2023, 10:25","","Chest Dip",,"",3,"normal",,7,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Leg Extension (Machine)",,"",0,"normal",40.82,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Leg Extension (Machine)",,"",1,"normal",31.75,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Leg Extension (Machine)",,"",2,"normal",31.75,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Leg Extension (Machine)",,"",3,"normal",31.75,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Leg Extension (Machine)",,"",4,"normal",31.75,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Leg Press (Machine)",,"",0,"normal",31.75,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Leg Press (Machine)",,"",1,"normal",31.75,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Leg Press (Machine)",,"",2,"normal",40.82,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Leg Press (Machine)",,"",3,"normal",40.82,12,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Leg Press (Machine)",,"",4,"normal",40.82,15,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Incline Chest Press (Machine)",,"",0,"normal",22.68,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Incline Chest Press (Machine)",,"",1,"normal",31.75,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Incline Chest Press (Machine)",,"",2,"normal",31.75,9,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Incline Chest Press (Machine)",,"",3,"normal",22.68,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Hip Adduction (Machine)",,"",0,"normal",22.68,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Hip Adduction (Machine)",,"",1,"normal",95.25,10,,,
"Morning workout ☀️","25 Jul 2023, 09:08","25 Jul 2023, 10:08","","Hip Adduction (Machine)",,"",2,"normal",95.25,2,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Bench Press (Barbell)",,"",0,"normal",20,10,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Bench Press (Barbell)",,"",1,"normal",27,12,,,
"Morning workout ☀️","24 Jul 2023, 08:46","24 Jul 2023, 10:03","","Bench Press (Barbell)",,"",2,"normal",40,10,,,
