"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Bench Press (Barbell)",,"",1,"normal",45,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Bench Press (Barbell)",,"",2,"normal",45,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Bench Press (Barbell)",,"",3,"failure",45,8,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Bench Press (Barbell)",,"",4,"failure",45,4,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Iso-Lateral Row (Machine)",,"",0,"normal",80,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Iso-Lateral Row (Machine)",,"",1,"normal",80,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Iso-Lateral Row (Machine)",,"",2,"normal",80,9,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Iso-Lateral Row (Machine)",,"",3,"normal",70,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Skullcrusher (Barbell)",,"",0,"normal",15,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Skullcrusher (Barbell)",,"",1,"normal",15,13,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Skullcrusher (Barbell)",,"",2,"normal",15,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Bicep Curl (Barbell)",,"",0,"normal",20,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Bicep Curl (Barbell)",,"",1,"normal",20,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Bicep Curl (Barbell)",,"",2,"normal",20,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Bicep Curl (Barbell)",,"",3,"normal",20,7,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Shoulder Press (Dumbbell)",,"",0,"normal",10,10,,,
"Day UpperBody","9 Sep 2023, 05:34","9 Sep 2023, 06:34","","Shoulder Press (Dumbbell)",,"",1,"normal",10,10,,,
"Afternoon workout 💪","3 Sep 2023, 03:10","3 Sep 2023, 04:17","","Bench Press (Barbell)",,"",0,"normal",20,12,,,
"Afternoon workout 💪","3 Sep 2023, 03:10","3 Sep 2023, 04:17","","Bench Press (Barbell)",,"",1,"normal",40,10,,,
"Afternoon workout 💪","3 Sep 2023, 03:10","3 Sep 2023, 04:17","","Bench Press (Barbell)",,"",2,"normal",50,10,,,
"Afternoon workout 💪","3 Sep 2023, 03:10","3 Sep 2023, 04:17","","Bench Press (Barbell)",,"",3,"normal",50,10,,,
"Afternoon workout 💪","3 Sep 2023, 03:10","3 Sep 2023, 04:17","","Bench Press (Barbell)",,"",4,"normal",50,8,,,
